TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PACE_PER40,POSS,PIE,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,TEAM,YEAR
1610612737,Atlanta Hawks,82,46,36,0.561,48.2,43.6,92.0,0.474,14.6,39.5,0.371,16.6,21.5,0.774,11.0,32.6,43.5,30.1,14.2,9.4,4.7,4.9,19.7,18.5,118.5,2.4,115.0,112.9,2.2,0.691,2.13,20.4,0.291,0.702,0.495,0.138,0.554,0.584,102.5,85.42,8444,0.51,42.4,89.4,0.474,12.9,36.3,0.355,18.5,23.2,0.794,11.1,34.1,45.2,26.6,16.1,8.5,4.9,4.7,18.5,19.7,116.0,ATL,25-26
1610612738,Boston Celtics,82,56,26,0.683,48.1,42.1,90.2,0.467,15.5,42.1,0.367,15.1,18.7,0.807,12.5,33.9,46.4,24.6,12.4,7.1,5.0,4.1,19.0,18.4,114.9,7.7,120.0,111.7,8.3,0.585,1.99,18.0,0.336,0.71,0.525,0.129,0.553,0.583,95.58,79.65,7850,0.536,38.4,86.8,0.442,14.0,39.1,0.358,16.4,21.2,0.775,10.9,30.4,41.2,24.7,12.4,6.2,4.1,5.0,18.4,19.0,107.2,BOS,25-26
1610612751,Brooklyn Nets,82,20,62,0.244,48.2,37.5,84.5,0.443,13.1,38.4,0.34,17.9,23.0,0.78,10.3,29.0,39.3,25.0,15.8,8.0,4.3,5.3,21.1,19.5,105.9,-10.0,108.2,118.2,-10.0,0.668,1.59,18.3,0.287,0.687,0.478,0.161,0.52,0.559,97.6,81.34,8028,0.436,42.2,84.7,0.497,12.5,32.9,0.381,19.1,24.6,0.775,10.2,33.4,43.6,27.5,14.5,9.1,5.3,4.3,19.5,21.1,115.9,BRK,25-26
1610612766,Charlotte Hornets,82,44,38,0.537,48.2,40.9,88.9,0.46,16.4,43.3,0.378,17.8,21.7,0.818,12.8,33.3,46.1,26.3,15.4,7.0,4.5,4.4,19.1,19.8,116.0,4.8,118.4,113.5,4.9,0.643,1.71,18.6,0.358,0.722,0.539,0.157,0.552,0.589,97.59,81.33,8033,0.516,41.0,87.9,0.467,12.8,35.7,0.359,16.3,20.4,0.801,10.2,29.1,39.3,25.9,12.7,8.2,4.4,4.5,19.8,19.1,111.2,CHO,25-26
1610612741,Chicago Bulls,82,31,51,0.378,48.2,42.4,90.5,0.469,14.3,40.1,0.356,17.3,22.2,0.776,10.4,34.7,45.0,28.5,15.3,7.6,5.0,5.6,19.0,18.8,116.3,-5.2,112.1,117.4,-5.3,0.672,1.86,19.5,0.279,0.708,0.496,0.148,0.547,0.58,103.22,86.01,8506,0.48,44.8,93.7,0.478,14.1,38.2,0.368,17.8,23.0,0.774,11.3,34.4,45.7,28.8,13.0,9.1,5.6,5.0,18.8,19.0,121.5,CHI,25-26
1610612739,Cleveland Cavaliers,82,52,30,0.634,48.2,43.3,90.0,0.482,14.3,39.8,0.36,18.5,23.9,0.776,11.7,32.7,44.4,28.3,14.0,8.5,5.0,4.3,19.6,20.5,119.5,4.1,118.3,114.1,4.1,0.653,2.02,19.7,0.307,0.692,0.502,0.138,0.561,0.595,100.7,83.91,8286,0.522,41.3,89.1,0.464,14.2,38.1,0.372,18.6,23.4,0.794,11.3,31.9,43.2,26.9,15.0,8.6,4.3,5.0,20.5,19.6,115.4,CLE,25-26
1610612742,Dallas Mavericks,82,26,56,0.317,48.4,41.9,89.8,0.466,11.0,31.9,0.344,19.5,25.8,0.755,10.5,34.2,44.7,25.3,14.5,7.5,5.2,5.3,18.4,21.0,114.1,-5.5,110.3,115.5,-5.2,0.604,1.74,17.7,0.279,0.702,0.492,0.141,0.527,0.564,102.62,85.52,8484,0.477,44.8,93.8,0.478,12.8,36.5,0.35,17.2,22.3,0.77,12.0,34.8,46.8,28.4,13.4,8.8,5.3,5.2,21.0,18.4,119.6,DAL,25-26
1610612743,Denver Nuggets,82,54,28,0.659,48.6,43.5,87.8,0.496,14.2,35.8,0.396,20.8,25.8,0.808,9.8,34.2,44.0,29.0,12.9,6.8,4.0,4.6,19.1,21.5,122.1,5.1,121.2,116.0,5.2,0.665,2.25,20.3,0.286,0.717,0.511,0.128,0.577,0.616,99.49,82.91,8259,0.529,42.7,91.2,0.468,13.6,39.1,0.349,17.8,23.1,0.771,11.2,31.6,42.8,27.5,11.8,7.8,4.6,4.0,21.5,19.1,116.9,DEN,25-26
1610612765,Detroit Pistons,82,60,22,0.732,48.3,43.4,89.5,0.485,11.0,30.9,0.356,19.9,26.1,0.763,13.1,32.5,45.6,27.8,15.1,10.4,6.4,5.8,22.0,21.3,117.8,8.2,117.3,108.9,8.4,0.641,1.84,19.1,0.354,0.689,0.524,0.151,0.546,0.583,99.88,83.23,8231,0.552,37.8,85.2,0.443,12.7,36.8,0.345,21.4,27.2,0.788,11.3,29.3,40.5,23.5,16.9,8.9,5.8,6.4,21.3,22.0,109.6,DET,25-26
1610612744,Golden State Warriors,82,37,45,0.451,48.3,40.9,88.8,0.461,15.7,44.1,0.356,17.0,21.1,0.807,11.4,31.0,42.3,28.9,15.7,9.7,4.2,4.2,19.6,18.6,114.6,-0.6,113.8,114.4,-0.5,0.706,1.85,20.0,0.302,0.684,0.49,0.156,0.549,0.584,100.05,83.37,8255,0.495,42.4,88.3,0.48,12.9,35.9,0.36,17.5,21.8,0.802,11.5,32.7,44.2,27.1,15.9,8.8,4.2,4.2,18.6,19.6,115.2,GSW,25-26
