TEAM,YEAR,NBA_PLAYER_ID,PLAYER,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,AGE,EXP,SCHOOL
ATL,21-22,1626153,Delon Wright,delon-wright,0,G,6-5,185,30.0,6,Utah
ATL,21-22,1630552,Jalen Johnson,jalen-johnson,1,F,6-8,219,20.0,R,Duke
ATL,21-22,1630536,Sharife Cooper,sharife-cooper,2,G,6-1,176,21.0,R,Auburn
ATL,21-22,1628989,Kevin Huerter,kevin-huerter,3,G-F,6-7,198,23.0,3,Maryland
ATL,21-22,1630219,Skylar Mays,skylar-mays,4,G,6-4,205,24.0,1,Louisiana State
ATL,21-22,1628995,Kevin Knox II,kevin-knox-ii,5,F,6-7,215,22.0,3,Kentucky
ATL,21-22,101150,Lou Williams,lou-williams,6,G,6-2,175,35.0,16,South Gwinnett HS (GA)
ATL,21-22,1627789,Timothe Luwawu-Cabarrot,timothe-luwawu-cabarrot,7,G-F,6-7,215,27.0,5,Mega Basket
ATL,21-22,201568,Danilo Gallinari,danilo-gallinari,8,F,6-10,236,33.0,12,Olimpia Milano
ATL,21-22,203476,Gorgui Dieng,gorgui-dieng,10,C,6-10,248,32.0,8,Louisville
ATL,21-22,1629027,Trae Young,trae-young,11,G,6-1,164,23.0,3,Oklahoma
ATL,21-22,1629631,De'Andre Hunter,deandre-hunter,12,F-G,6-8,221,24.0,2,Virginia
ATL,21-22,203992,Bogdan Bogdanović,bogdan-bogdanović,13,G,6-6,225,29.0,4,Fenerbahce
ATL,21-22,203991,Clint Capela,clint-capela,15,C,6-10,256,28.0,7,Elan Chalon
ATL,21-22,1630168,Onyeka Okongwu,onyeka-okongwu,17,F-C,6-8,240,21.0,1,Southern California
ATL,21-22,1628381,John Collins,john-collins,20,F-C,6-9,226,24.0,4,Wake Forest
ATL,21-22,1630602,Chaundee Brown Jr.,chaundee-brown-jr,38,F,6-5,215,23.0,R,Michigan
BOS,21-22,1630346,Matt Ryan,matt-ryan,,F,6-7,215,25.0,R,Tennessee-Chattanooga
BOS,21-22,1628369,Jayson Tatum,jayson-tatum,0,F-G,6-8,210,24.0,4,Duke
BOS,21-22,1627759,Jaylen Brown,jaylen-brown,7,G-F,6-6,223,25.0,5,California
BOS,21-22,1630238,Malik Fitts,malik-fitts,8,F,6-5,230,24.0,1,St. Mary's College
BOS,21-22,1628401,Derrick White,derrick-white,9,G,6-4,190,27.0,4,Colorado
BOS,21-22,1630202,Payton Pritchard,payton-pritchard,11,G,6-1,195,24.0,1,Oregon
BOS,21-22,1629684,Grant Williams,grant-williams,12,F,6-6,236,23.0,2,Tennessee
BOS,21-22,203917,Nik Stauskas,nik-stauskas,13,G,6-6,207,28.0,5,Michigan
BOS,21-22,1629752,Juwan Morgan,juwan-morgan,16,F,6-7,232,25.0,2,Indiana
BOS,21-22,1630174,Aaron Nesmith,aaron-nesmith,26,G-F,6-5,215,22.0,1,Vanderbilt
BOS,21-22,1628464,Daniel Theis,daniel-theis,27,F-C,6-9,245,30.0,4,Brose Bamberg
BOS,21-22,1630573,Sam Hauser,sam-hauser,30,F,6-7,217,24.0,R,Virginia
BOS,21-22,203935,Marcus Smart,marcus-smart,36,G,6-4,220,28.0,7,Oklahoma State
BOS,21-22,1628436,Luke Kornet,luke-kornet,40,C-F,7-2,250,26.0,4,Vanderbilt
BOS,21-22,201143,Al Horford,al-horford,42,C-F,6-9,240,36.0,14,Florida
BOS,21-22,1629057,Robert Williams III,robert-williams-iii,44,C-F,6-9,237,24.0,3,Texas A&M
BOS,21-22,1630271,Brodric Thomas,brodric-thomas,97,G,6-5,185,25.0,1,Truman State
CLE,21-22,201567,Kevin Love,kevin-love,0,F-C,6-8,251,33.0,13,UCLA
CLE,21-22,1629164,Brandon Goodwin,brandon-goodwin,00,G,6-0,180,26.0,3,Florida Gulf Coast
CLE,21-22,200765,Rajon Rondo,rajon-rondo,1,G,6-1,180,36.0,15,Kentucky
CLE,21-22,1629012,Collin Sexton,collin-sexton,2,G,6-1,190,23.0,3,Alabama
CLE,21-22,1627747,Caris LeVert,caris-levert,3,G,6-6,205,27.0,5,Michigan
CLE,21-22,1630596,Evan Mobley,evan-mobley,4,C,6-11,215,21.0,R,Southern California
CLE,21-22,1630612,Ruben Nembhard Jr.,ruben-nembhard-jr,5,G,6-4,200,23.0,R,Texas Christian
CLE,21-22,1629650,Moses Brown,moses-brown,6,C,7-2,245,22.0,2,UCLA
CLE,21-22,1630205,Lamar Stevens,lamar-stevens,8,F,6-6,230,24.0,1,Penn State
CLE,21-22,1629685,Dylan Windler,dylan-windler,9,G-F,6-6,196,25.0,1,Belmont
CLE,21-22,1629636,Darius Garland,darius-garland,10,G,6-1,192,22.0,2,Vanderbilt
CLE,21-22,1626224,Cedi Osman,cedi-osman,16,F,6-7,230,27.0,4,Anadolu Efes
CLE,21-22,202334,Ed Davis,ed-davis,21,C-F,6-9,218,33.0,11,North Carolina
CLE,21-22,1628374,Lauri Markkanen,lauri-markkanen,24,F-C,6-11,240,25.0,4,Arizona
CLE,21-22,1628386,Jarrett Allen,jarrett-allen,31,C,6-10,243,24.0,4,Texas
CLE,21-22,1629731,Dean Wade,dean-wade,32,F-C,6-9,228,25.0,2,Kansas State
CLE,21-22,1630171,Isaac Okoro,isaac-okoro,35,F-G,6-5,225,21.0,1,Auburn
NOP,21-22,1629627,Zion Williamson,zion-williamson,1,F,6-6,284,21.0,2,Duke
NOP,21-22,1629607,Jared Harper,jared-harper,2,G,5-10,175,24.0,2,Auburn
NOP,21-22,203468,CJ McCollum,cj-mccollum,3,G,6-3,190,30.0,8,Lehigh
NOP,21-22,1628984,Devonte' Graham,devonte-graham,4,G,6-1,195,27.0,3,Kansas
NOP,21-22,1630529,Herbert Jones,herbert-jones,5,F,6-7,206,23.0,R,Alabama
NOP,21-22,1630230,Naji Marshall,naji-marshall,8,F,6-7,220,24.0,1,Xavier
NOP,21-22,1626195,Willy Hernangomez,willy-hernangomez,9,C-F,6-11,250,28.0,5,Cajasol Sevilla
NOP,21-22,1629637,Jaxson Hayes,jaxson-hayes,10,C-F,6-11,220,22.0,2,Texas
NOP,21-22,1629109,Gary Clark,gary-clark,12,F,6-6,225,27.0,3,Cincinnati
NOP,21-22,1630184,Kira Lewis Jr.,kira-lewis-jr,13,G,6-1,170,21.0,1,Alabama
NOP,21-22,1627742,Brandon Ingram,brandon-ingram,14,F,6-8,190,24.0,5,Duke
NOP,21-22,1630631,Jose Alvarado,jose-alvarado,15,G,6-0,179,24.0,R,Georgia Tech
NOP,21-22,202685,Jonas Valančiūnas,jonas-valančiūnas,17,C,6-11,265,30.0,9,Lietuvos rytas Vilnius
NOP,21-22,203503,Tony Snell,tony-snell,21,G,6-6,213,30.0,8,New Mexico
NOP,21-22,1626204,Larry Nance Jr.,larry-nance-jr,22,F-C,6-7,245,29.0,6,Wyoming
NOP,21-22,1630530,Trey Murphy III,trey-murphy-iii,25,F,6-8,206,22.0,R,Virginia
NOP,21-22,202066,Garrett Temple,garrett-temple,41,G-F,6-5,195,36.0,11,Louisiana State
CHI,21-22,1629632,Coby White,coby-white,0,G,6-4,195,22.0,2,North Carolina
CHI,21-22,1628366,Lonzo Ball,lonzo-ball,2,G,6-6,190,24.0,4,UCLA
CHI,21-22,202684,Tristan Thompson,tristan-thompson,3,C-F,6-9,254,31.0,10,Texas-Austin
CHI,21-22,1627884,Derrick Jones Jr.,derrick-jones-jr,5,F,6-6,210,25.0,5,UNLV
CHI,21-22,1627936,Alex Caruso,alex-caruso,6,G,6-5,186,28.0,4,Texas A&M
CHI,21-22,1628972,Troy Brown Jr.,troy-brown-jr,7,G-F,6-6,215,22.0,3,Oregon
CHI,21-22,203897,Zach LaVine,zach-lavine,8,G-F,6-5,200,27.0,7,UCLA
CHI,21-22,202696,Nikola Vučević,nikola-vučević,9,C,6-10,260,31.0,10,Southern California
CHI,21-22,201942,DeMar DeRozan,demar-derozan,11,G-F,6-6,220,32.0,12,Southern California
CHI,21-22,1630245,Ayo Dosunmu,ayo-dosunmu,12,G,6-4,200,22.0,R,Illinois
CHI,21-22,1628396,Tony Bradley,tony-bradley,13,C-F,6-10,248,24.0,4,North Carolina
CHI,21-22,1630792,Malcolm Hill,malcolm-hill,14,F,6-6,220,26.0,R,Illinois
CHI,21-22,1630250,Marko Simonovic,marko-simonovic,19,C,6-11,220,22.0,R,Mega Basket
CHI,21-22,1629744,Matt Thomas,matt-thomas,21,G,6-3,190,27.0,2,Iowa State
CHI,21-22,1629750,Javonte Green,javonte-green,24,G-F,6-5,205,28.0,2,Radford
CHI,21-22,1629076,Tyler Cook,tyler-cook,25,F,6-8,255,24.0,2,Iowa
CHI,21-22,1630172,Patrick Williams,patrick-williams,44,F,6-7,215,20.0,1,Florida State
DAL,21-22,1628425,Sterling Brown,sterling-brown,0,G-F,6-5,219,27.0,4,Southern Methodist
DAL,21-22,1629033,Theo Pinson,theo-pinson,1,G-F,6-5,212,26.0,3,North Carolina
DAL,21-22,203504,Trey Burke,trey-burke,3,G,6-0,185,29.0,8,Michigan
DAL,21-22,1630589,Moses Wright,moses-wright,5,F,6-8,226,23.0,R,Georgia Tech
DAL,21-22,203939,Dwight Powell,dwight-powell,7,F-C,6-10,240,30.0,7,Stanford
DAL,21-22,1630182,Josh Green,josh-green,8,G,6-5,200,21.0,1,Arizona
DAL,21-22,1627827,Dorian Finney-Smith,dorian-finney-smith,10,F,6-7,220,29.0,5,Florida
DAL,21-22,203501,Tim Hardaway Jr.,tim-hardaway-jr,11,G-F,6-5,205,30.0,8,Michigan
DAL,21-22,1628973,Jalen Brunson,jalen-brunson,13,G,6-1,190,25.0,3,Villanova
DAL,21-22,1628373,Frank Ntilikina,frank-ntilikina,21,G,6-4,200,23.0,4,Strasbourg IG
DAL,21-22,203493,Reggie Bullock Jr.,reggie-bullock-jr,25,G-F,6-6,205,31.0,8,North Carolina
DAL,21-22,203915,Spencer Dinwiddie,spencer-dinwiddie,26,G,6-6,215,29.0,7,Colorado
DAL,21-22,1627737,Marquese Chriss,marquese-chriss,35,F,6-9,240,24.0,5,Washington
DAL,21-22,1628467,Maxi Kleber,maxi-kleber,42,F,6-10,240,30.0,4,Bayern Munich
DAL,21-22,202722,Davis Bertans,davis-bertans,44,F,6-10,225,29.0,5,Baskonia
DAL,21-22,1626246,Boban Marjanovic,boban-marjanovic,51,C,7-3,290,33.0,6,Crvena zvezda
DAL,21-22,1629029,Luka Dončić,luka-dončić,77,F-G,6-7,230,23.0,3,Real Madrid
DEN,21-22,203210,JaMychal Green,jamychal-green,,F-C,6-8,227,32.0,7,Alabama
DEN,21-22,1630210,Markus Howard,markus-howard,00,G,5-10,175,23.0,1,Marquette
DEN,21-22,1629008,Michael Porter Jr.,michael-porter-jr,1,F,6-10,218,24.0,2,Missouri
DEN,21-22,1630538,Bones Hyland,bones-hyland,3,G,6-2,169,21.0,R,Virginia Commonwealth
DEN,21-22,202326,DeMarcus Cousins,demarcus-cousins,4,C,6-10,270,31.0,10,Kentucky
DEN,21-22,203115,Will Barton,will-barton,5,G,6-5,181,31.0,9,Memphis
DEN,21-22,1627854,Bryn Forbes,bryn-forbes,6,G,6-2,205,28.0,5,Michigan State
DEN,21-22,1630267,Facundo Campazzo,facundo-campazzo,7,G,5-10,195,31.0,1,Murcia
DEN,21-22,1628432,Davon Reed,davon-reed,9,G,6-5,206,27.0,2,Miami
DEN,21-22,1628420,Monté Morris,monté-morris,11,G,6-2,183,27.0,4,Iowa State
DEN,21-22,203999,Nikola Jokić,nikola-jokić,15,C,6-11,284,27.0,6,Mega Basket
DEN,21-22,1630192,Zeke Nnaji,zeke-nnaji,22,F-C,6-9,240,21.0,1,Arizona
DEN,21-22,203085,Austin Rivers,austin-rivers,25,G,6-4,200,29.0,9,Duke
DEN,21-22,1627750,Jamal Murray,jamal-murray,27,G,6-3,215,25.0,5,Kentucky
DEN,21-22,1628427,Vlatko Čančar,vlatko-čančar,31,F,6-8,236,25.0,2,San Pablo Burgos
DEN,21-22,201145,Jeff Green,jeff-green,32,F,6-8,235,35.0,14,Georgetown
DEN,21-22,203932,Aaron Gordon,aaron-gordon,50,F,6-8,235,26.0,7,Arizona
GSW,21-22,1627780,Gary Payton II,gary-payton-ii,0,G,6-3,195,29.0,5,Oregon State
GSW,21-22,1630228,Jonathan Kuminga,jonathan-kuminga,00,F,6-7,225,19.0,R,NBA G League Ignite
GSW,21-22,1627814,Damion Lee,damion-lee,1,G-F,6-5,210,29.0,4,Drexel
GSW,21-22,1629185,Chris Chiozza,chris-chiozza,2,G,5-11,175,26.0,3,Florida
GSW,21-22,1629673,Jordan Poole,jordan-poole,3,G,6-4,194,23.0,2,Michigan
GSW,21-22,1630541,Moses Moody,moses-moody,4,G,6-5,211,20.0,R,Arkansas
GSW,21-22,1626172,Kevon Looney,kevon-looney,5,F,6-9,222,26.0,6,UCLA
GSW,21-22,202357,Nemanja Bjelica,nemanja-bjelica,8,F,6-9,234,34.0,6,Fenerbahce
GSW,21-22,2738,Andre Iguodala,andre-iguodala,9,G-F,6-6,215,38.0,17,Arizona
GSW,21-22,202691,Klay Thompson,klay-thompson,11,G,6-6,220,32.0,10,Washington State
GSW,21-22,1629683,Quinndary Weatherspoon,quinndary-weatherspoon,15,G,6-3,205,25.0,2,Mississippi State
GSW,21-22,203952,Andrew Wiggins,andrew-wiggins,22,F,6-7,197,27.0,7,Kansas
GSW,21-22,203110,Draymond Green,draymond-green,23,F,6-6,230,32.0,9,Michigan State
GSW,21-22,201939,Stephen Curry,stephen-curry,30,G,6-2,185,34.0,12,Davidson
GSW,21-22,203490,Otto Porter Jr.,otto-porter-jr,32,F,6-8,198,29.0,8,Georgetown
GSW,21-22,1630164,James Wiseman,james-wiseman,33,C,7-0,240,21.0,1,Memphis
GSW,21-22,1629308,Juan Toscano-Anderson,juan-toscano-anderson,95,F,6-6,209,29.0,2,Marquette
HOU,21-22,1630224,Jalen Green,jalen-green,0,G,6-4,186,20.0,R,NBA G League Ignite
HOU,21-22,202322,John Wall,john-wall,1,G,6-3,210,31.0,10,Kentucky
HOU,21-22,1628021,David Nwaba,david-nwaba,2,G-F,6-5,219,29.0,5,Cal Poly-Obispo
HOU,21-22,1629645,Kevin Porter Jr.,kevin-porter-jr,3,G-F,6-4,203,22.0,2,Southern California
HOU,21-22,1630231,KJ Martin,kj-martin,6,F,6-5,215,21.0,1,IMG Academy (FL)
HOU,21-22,1630256,Jae'Sean Tate,jaesean-tate,8,F,6-4,230,26.0,1,Ohio State
HOU,21-22,1630528,Josh Christopher,josh-christopher,9,G,6-3,215,20.0,R,Arizona State
HOU,21-22,201569,Eric Gordon,eric-gordon,10,G,6-3,215,33.0,13,Indiana
HOU,21-22,1630227,Daishen Nix,daishen-nix,15,G,6-4,226,20.0,R,NBA G League Ignite
HOU,21-22,1630586,Usman Garuba,usman-garuba,16,F,6-8,229,20.0,R,Real Madrid
HOU,21-22,203471,Dennis Schröder,dennis-schröder,17,G,6-1,172,28.0,8,Braunschweig
HOU,21-22,1628981,Bruno Fernando,bruno-fernando,20,F-C,6-9,240,23.0,2,Maryland
HOU,21-22,1630243,Trevelin Queen,trevelin-queen,21,G,6-6,190,25.0,R,New Mexico State
HOU,21-22,1629726,Garrison Mathews,garrison-mathews,25,G,6-5,215,25.0,2,Lipscomb
HOU,21-22,1630578,Alperen Sengun,alperen-sengun,28,C,6-10,243,19.0,R,Besiktas
HOU,21-22,1630237,Anthony Lamb,anthony-lamb,33,F,6-6,227,24.0,1,Vermont
HOU,21-22,1626174,Christian Wood,christian-wood,35,F,6-9,214,26.0,5,UNLV
LAC,21-22,1630206,Jay Scrubb,jay-scrubb,0,G,6-5,220,21.0,1,John A. Logan
LAC,21-22,202704,Reggie Jackson,reggie-jackson,1,G,6-2,208,32.0,10,Boston College
LAC,21-22,202695,Kawhi Leonard,kawhi-leonard,2,F,6-7,225,31.0,10,San Diego State
LAC,21-22,1630527,Brandon Boston,brandon-boston,4,G,6-6,188,20.0,R,Kentucky
LAC,21-22,1628379,Luke Kennard,luke-kennard,5,G,6-5,206,26.0,4,Duke
LAC,21-22,1629599,Amir Coffey,amir-coffey,7,G-F,6-7,210,25.0,2,Minnesota
LAC,21-22,202694,Marcus Morris Sr.,marcus-morris-sr,8,F,6-8,218,32.0,10,Kansas
LAC,21-22,202331,Paul George,paul-george,13,F,6-8,220,32.0,11,Fresno State
LAC,21-22,1629611,Terance Mann,terance-mann,14,G-F,6-5,215,25.0,2,Florida State
LAC,21-22,1629875,Xavier Moon,xavier-moon,15,G,6-2,165,27.0,R,Morehead State
LAC,21-22,1630554,Jason Preston,jason-preston,17,G,6-3,181,22.0,R,Ohio
LAC,21-22,203918,Rodney Hood,rodney-hood,22,G-F,6-8,208,29.0,7,Duke
LAC,21-22,203496,Robert Covington,robert-covington,23,F,6-7,209,31.0,8,Tennessee State
LAC,21-22,1626181,Norman Powell,norman-powell,24,G,6-3,215,29.0,6,UCLA
LAC,21-22,201587,Nicolas Batum,nicolas-batum,33,G-F,6-8,230,33.0,13,Le Mans
LAC,21-22,1627826,Ivica Zubac,ivica-zubac,40,C,7-0,240,25.0,5,Mega Basket
LAC,21-22,1628392,Isaiah Hartenstein,isaiah-hartenstein,55,C-F,7-0,250,24.0,3,Zalgiris
LAL,21-22,201566,Russell Westbrook,russell-westbrook,0,G,6-3,200,33.0,13,UCLA
LAL,21-22,201961,Wayne Ellington,wayne-ellington,2,G,6-4,207,34.0,12,North Carolina
LAL,21-22,203076,Anthony Davis,anthony-davis,3,F-C,6-10,253,29.0,9,Kentucky
LAL,21-22,201571,D.J. Augustin,dj-augustin,4,G,5-11,183,34.0,13,Texas
LAL,21-22,1629659,Talen Horton-Tucker,talen-horton-tucker,5,G,6-4,234,21.0,2,Iowa State
LAL,21-22,2544,LeBron James,lebron-james,6,F,6-9,250,37.0,18,St. Vincent-St. Mary HS (OH)
LAL,21-22,2546,Carmelo Anthony,carmelo-anthony,7,F,6-7,238,38.0,18,Syracuse
LAL,21-22,203145,Kent Bazemore,kent-bazemore,9,G-F,6-4,195,32.0,9,Old Dominion
LAL,21-22,1628370,Malik Monk,malik-monk,11,G,6-3,200,24.0,4,Kentucky
LAL,21-22,1629134,Kendrick Nunn,kendrick-nunn,12,G,6-2,190,26.0,2,Oakland
LAL,21-22,1626169,Stanley Johnson,stanley-johnson,14,F-G,6-6,242,26.0,6,Arizona
LAL,21-22,1630559,Austin Reaves,austin-reaves,15,G,6-5,197,24.0,R,Oklahoma
LAL,21-22,202340,Avery Bradley,avery-bradley,20,G,6-3,180,31.0,11,University of Texas at Austin
LAL,21-22,1629117,Wenyen Gabriel,wenyen-gabriel,35,F,6-9,205,25.0,2,Kentucky
LAL,21-22,1630644,Mac McClung,mac-mcclung,37,G,6-2,185,23.0,R,Texas Tech
LAL,21-22,2730,Dwight Howard,dwight-howard,39,C-F,6-10,265,36.0,17,SW Atlanta Christian Academy (GA)
LAL,21-22,1630222,Mason Jones,mason-jones,40,G,6-4,200,23.0,1,Arkansas
MIA,21-22,1629216,Gabe Vincent,gabe-vincent,2,G,6-3,200,26.0,2,California-Santa Barbara
MIA,21-22,203506,Victor Oladipo,victor-oladipo,4,G,6-4,213,30.0,8,Indiana
MIA,21-22,200768,Kyle Lowry,kyle-lowry,7,G,6-0,196,36.0,15,Villanova
MIA,21-22,202693,Markieff Morris,markieff-morris,8,F,6-9,245,32.0,10,Kansas
MIA,21-22,1628539,Mychal Mulder,mychal-mulder,12,G,6-3,195,28.0,2,Kentucky
MIA,21-22,1628389,Bam Adebayo,bam-adebayo,13,C-F,6-9,255,24.0,4,Kentucky
MIA,21-22,1629639,Tyler Herro,tyler-herro,14,G,6-5,195,22.0,2,Kentucky
MIA,21-22,1630606,Javonte Smart,javonte-smart,15,G,6-4,205,23.0,R,Louisiana State
MIA,21-22,1628997,Caleb Martin,caleb-martin,16,F,6-5,205,26.0,2,Nevada
MIA,21-22,200782,P.J. Tucker,pj-tucker,17,F,6-5,245,37.0,10,Texas
MIA,21-22,203473,Dewayne Dedmon,dewayne-dedmon,21,C,7-0,245,32.0,8,USC
MIA,21-22,202710,Jimmy Butler III,jimmy-butler-iii,22,F,6-7,230,32.0,10,Marquette
MIA,21-22,1629312,Haywood Highsmith,haywood-highsmith,24,F,6-4,220,25.0,1,Wheeling Jesuit
MIA,21-22,1629622,Max Strus,max-strus,31,G-F,6-5,215,26.0,2,DePaul
MIA,21-22,2617,Udonis Haslem,udonis-haslem,40,F,6-8,235,42.0,18,Florida
MIA,21-22,1629130,Duncan Robinson,duncan-robinson,55,F,6-7,215,28.0,3,Michigan
MIA,21-22,1630209,Omer Yurtseven,omer-yurtseven,77,C,6-11,275,24.0,R,Georgetown
MIL,21-22,201588,George Hill,george-hill,3,G,6-4,188,36.0,13,Indiana-Purdue Indianapolis
MIL,21-22,1628975,Jevon Carter,jevon-carter,5,G,6-1,200,26.0,3,West Virginia
MIL,21-22,1630492,Luca Vildoza,luca-vildoza,6,G,6-3,190,26.0,R,Baskonia
MIL,21-22,1628960,Grayson Allen,grayson-allen,7,G,6-4,198,26.0,3,Duke
MIL,21-22,1626171,Bobby Portis,bobby-portis,9,F,6-10,250,27.0,6,Arkansas
MIL,21-22,201572,Brook Lopez,brook-lopez,11,C,7-0,282,34.0,13,Stanford
MIL,21-22,1629670,Jordan Nwora,jordan-nwora,13,F,6-8,225,23.0,1,Louisville
MIL,21-22,201950,Jrue Holiday,jrue-holiday,21,G,6-3,205,32.0,12,UCLA
MIL,21-22,203114,Khris Middleton,khris-middleton,22,F,6-7,222,30.0,9,Texas A&M
MIL,21-22,202083,Wesley Matthews,wesley-matthews,23,G,6-4,220,35.0,12,Marquette
MIL,21-22,1626192,Pat Connaughton,pat-connaughton,24,G,6-5,209,29.0,6,Notre Dame
MIL,21-22,201586,Serge Ibaka,serge-ibaka,25,F,6-10,235,32.0,12,Ricoh Manresa
MIL,21-22,1629623,Lindell Wigginton,lindell-wigginton,28,G,6-1,189,24.0,R,Iowa State
MIL,21-22,203507,Giannis Antetokounmpo,giannis-antetokounmpo,34,F,6-11,242,27.0,8,Filathlitikos
MIL,21-22,203648,Thanasis Antetokounmpo,thanasis-antetokounmpo,43,F,6-6,219,29.0,3,Panathinaikos
MIL,21-22,1630572,Sandro Mamukelashvili,sandro-mamukelashvili,54,F-C,6-9,240,23.0,R,Seton Hall
MIL,21-22,1629730,Rayjon Tucker,rayjon-tucker,59,G,6-3,209,24.0,2,Arkansas-Little Rock
MIN,21-22,1626156,D'Angelo Russell,dangelo-russell,0,G,6-4,193,26.0,6,Ohio State
MIN,21-22,1630162,Anthony Edwards,anthony-edwards,1,G,6-4,225,20.0,1,Georgia
MIN,21-22,1630183,Jaden McDaniels,jaden-mcdaniels,3,F,6-9,185,21.0,1,Washington
MIN,21-22,1629669,Jaylen Nowell,jaylen-nowell,4,G,6-4,201,22.0,2,Washington
MIN,21-22,1627736,Malik Beasley,malik-beasley,5,G,6-4,187,25.0,5,Florida State
MIN,21-22,1629162,Jordan McLaughlin,jordan-mclaughlin,6,G,5-11,185,26.0,2,Southern California
MIN,21-22,1629020,Jarred Vanderbilt,jarred-vanderbilt,8,F,6-9,214,23.0,3,Kentucky
MIN,21-22,1630195,Leandro Bolmaro,leandro-bolmaro,9,F,6-6,200,21.0,R,FC Barcelona
MIN,21-22,1627774,Jake Layman,jake-layman,10,F,6-8,209,28.0,5,Maryland
MIN,21-22,1629675,Naz Reid,naz-reid,11,C-F,6-9,264,22.0,2,Louisiana State
MIN,21-22,1627752,Taurean Prince,taurean-prince,12,F,6-6,218,28.0,5,Baylor
MIN,21-22,1630233,Nathan Knight,nathan-knight,13,F-C,6-10,253,24.0,1,William & Mary
MIN,21-22,202328,Greg Monroe,greg-monroe,15,F-C,6-10,250,32.0,9,Georgetown
MIN,21-22,1629006,Josh Okogie,josh-okogie,20,G,6-4,213,23.0,3,Georgia Tech
MIN,21-22,201976,Patrick Beverley,patrick-beverley,22,G,6-1,180,33.0,9,Arkansas
MIN,21-22,1630593,McKinley Wright IV,mckinley-wright-iv,25,G,5-11,192,23.0,R,Colorado
MIN,21-22,1626157,Karl-Anthony Towns,karl-anthony-towns,32,C-F,6-11,248,26.0,6,Kentucky
BRK,21-22,203083,Andre Drummond,andre-drummond,0,C,6-10,279,28.0,9,Connecticut
BRK,21-22,1628971,Bruce Brown,bruce-brown,1,G-F,6-4,202,25.0,3,Miami
BRK,21-22,201933,Blake Griffin,blake-griffin,2,F,6-9,250,33.0,11,Oklahoma
BRK,21-22,1630561,David Duke Jr.,david-duke-jr,6,G,6-4,204,22.0,R,Providence
BRK,21-22,201142,Kevin Durant,kevin-durant,7,F,6-10,240,33.0,14,Texas
BRK,21-22,201988,Patty Mills,patty-mills,8,G,6-0,180,33.0,12,St. Mary's
BRK,21-22,201609,Goran Dragic,goran-dragic,9,G,6-3,190,36.0,13,Union Olimpija
BRK,21-22,1627732,Ben Simmons,ben-simmons,10,G-F,6-11,240,25.0,4,Louisiana State
BRK,21-22,202681,Kyrie Irving,kyrie-irving,11,G,6-2,195,30.0,10,Duke
BRK,21-22,203925,Joe Harris,joe-harris,12,G-F,6-6,220,30.0,7,Virginia
BRK,21-22,1630556,Kessler Edwards,kessler-edwards,14,F,6-7,203,21.0,R,Pepperdine
BRK,21-22,1630549,Day'Ron Sharpe,dayron-sharpe,20,F,6-9,265,20.0,R,North Carolina
BRK,21-22,200746,LaMarcus Aldridge,lamarcus-aldridge,21,C-F,6-11,250,36.0,15,University of Texas at Austin
BRK,21-22,1630560,Cam Thomas,cam-thomas,24,G,6-3,210,20.0,R,Louisiana State
BRK,21-22,203552,Seth Curry,seth-curry,30,G,6-2,185,31.0,8,Duke
BRK,21-22,1629651,Nic Claxton,nic-claxton,33,F-C,6-11,215,23.0,2,Georgia
NYK,21-22,1630167,Obi Toppin,obi-toppin,1,F,6-9,220,24.0,1,Dayton
NYK,21-22,1630540,Miles McBride,miles-mcbride,2,G,6-1,195,21.0,R,West Virginia
NYK,21-22,203457,Nerlens Noel,nerlens-noel,3,C-F,6-11,220,28.0,7,Kentucky
NYK,21-22,201565,Derrick Rose,derrick-rose,4,G,6-2,200,33.0,12,Memphis
NYK,21-22,1630193,Immanuel Quickley,immanuel-quickley,5,G,6-3,190,23.0,1,Kentucky
NYK,21-22,1629656,Quentin Grimes,quentin-grimes,6,G,6-4,210,22.0,R,Houston
NYK,21-22,202689,Kemba Walker,kemba-walker,8,G,6-0,184,32.0,10,Connecticut
NYK,21-22,1629628,RJ Barrett,rj-barrett,9,F-G,6-6,214,22.0,2,Duke
NYK,21-22,1630624,Feron Hunt,feron-hunt,11,F,6-8,195,22.0,R,Southern Methodist
NYK,21-22,203095,Evan Fournier,evan-fournier,13,G-F,6-6,205,29.0,9,Poitiers Basket 86
NYK,21-22,202692,Alec Burks,alec-burks,18,G,6-6,214,30.0,10,Colorado
NYK,21-22,1629629,Cam Reddish,cam-reddish,21,F-G,6-8,217,22.0,2,Duke
NYK,21-22,1629011,Mitchell Robinson,mitchell-robinson,23,C-F,7-0,240,24.0,3,Western Kentucky
NYK,21-22,203944,Julius Randle,julius-randle,30,F-C,6-8,250,27.0,7,Kentucky
NYK,21-22,1630579,Jericho Sims,jericho-sims,45,C,6-9,250,23.0,R,Texas
NYK,21-22,1627853,Ryan Arcidiacono,ryan-arcidiacono,51,G,6-3,195,28.0,4,Villanova
NYK,21-22,201959,Taj Gibson,taj-gibson,67,F,6-9,232,37.0,12,Southern California
ORL,21-22,1628371,Jonathan Isaac,jonathan-isaac,1,F,6-10,230,24.0,4,Florida State
ORL,21-22,1629643,Chuma Okeke,chuma-okeke,3,F,6-6,229,23.0,1,Auburn
