Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Khris Middleton,middlkh01,24-25,MIL-WAS,SF,11.9,0.4,3.7,4.1,0.9,0.2,1.5,0.475,0.361,0.857,22.8,2.0,440,137,150,35,8,56,160,337,48,133,72,84,843,75,37,21,0
Kyshawn George,georgky01,24-25,WAS,SG,8.7,0.7,4.2,2.5,1.0,0.7,1.4,0.372,0.322,0.753,26.5,3.0,590,285,169,68,50,97,203,546,114,354,70,93,1802,201,68,38,0
Malcolm Brogdon,brogdma01,24-25,WAS,PG,12.7,0.9,3.8,4.1,0.5,0.2,1.6,0.433,0.286,0.88,23.5,1.2,305,91,98,13,5,38,104,240,16,56,81,92,564,30,24,13,0
Marcus Smart,smartma01,24-25,MEM-WAS,PG,9.0,0.5,2.1,3.2,1.1,0.3,1.6,0.393,0.348,0.761,20.0,1.6,305,72,109,39,9,54,101,257,49,141,54,71,680,53,34,7,0
Richaun Holmes,holmeri01,24-25,WAS,PF,7.4,2.0,5.7,1.4,0.3,0.7,0.7,0.647,0.0,0.833,17.2,1.6,230,177,42,9,23,21,90,139,0,3,50,60,534,49,31,7,0
Tristan Vukcevic,vukcetr01,24-25,WAS,C,9.4,0.7,3.7,1.1,0.3,0.7,1.2,0.496,0.373,0.776,14.7,1.6,330,130,39,11,23,42,120,242,38,102,52,67,513,57,35,1,0
Alex Sarr,sarral01,25-26,WAS,C,16.3,2.2,7.4,2.7,0.8,2.0,1.7,0.482,0.333,0.692,27.2,2.2,783,355,130,39,95,82,316,656,50,150,101,146,1305,105,48,48,0
Alondes Williams,willial06,25-26,WAS,SG,11.0,1.2,6.2,3.0,0.8,0.8,1.2,0.615,0.357,0.875,25.2,1.0,44,25,12,3,3,5,16,26,5,14,7,8,101,4,4,0,0
Anthony Gill,gillan01,25-26,WAS,PF,5.8,1.1,2.9,1.3,0.6,0.4,0.7,0.628,0.354,0.739,17.3,1.6,321,158,69,31,21,36,135,215,17,48,34,46,951,88,55,8,0
Bilal Coulibaly,coulibi01,25-26,WAS,SG,11.7,0.9,4.3,2.6,1.3,1.0,1.4,0.425,0.319,0.746,26.2,2.3,657,243,145,75,54,81,230,541,65,204,132,177,1468,130,56,56,0
Bub Carrington,carrica01,25-26,WAS,PG,10.7,0.4,3.4,4.6,0.6,0.2,2.3,0.424,0.408,0.73,27.7,2.2,878,276,381,52,17,191,314,741,169,414,81,111,2271,184,82,48,0
Cam Whitmore,whitmca01,25-26,WAS,SF,9.2,0.9,2.8,0.7,0.7,0.4,0.9,0.456,0.286,0.742,16.9,1.2,193,58,15,15,8,18,77,169,16,56,23,31,354,25,21,0,0
Jaden Hardy,hardyja02,25-26,DAL-WAS,SG,9.2,0.3,1.5,1.0,0.3,0.1,1.1,0.424,0.397,0.733,15.8,1.6,523,86,58,16,6,62,182,429,104,262,55,75,898,89,57,4,0
Jamir Watkins,watkija01,25-26,WAS,SG,7.4,1.0,3.9,1.3,1.1,0.5,0.8,0.446,0.297,0.695,20.6,2.6,368,194,67,54,25,40,132,296,47,158,57,82,1032,129,50,7,0
Julian Reese,reeseju01,25-26,WAS,PF,11.8,4.2,10.5,1.8,1.4,0.6,2.5,0.529,,0.636,30.9,3.2,154,137,24,18,8,32,63,119,0,0,28,44,402,42,13,10,0
Justin Champagnie,champju01,25-26,WAS,SF,8.7,2.1,5.6,1.2,0.9,0.6,0.7,0.502,0.319,0.784,20.0,1.7,597,384,84,59,43,45,232,462,53,166,80,102,1377,114,69,19,0
