Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Ben Sheppard,sheppbe01,24-25,IND,SG,5.3,0.7,2.8,1.3,0.6,0.2,0.3,0.418,0.342,0.889,19.5,2.0,332,177,85,38,14,22,120,287,68,199,24,27,1229,125,63,9,0
Bennedict Mathurin,mathube01,24-25,IND,SF,16.1,1.2,5.3,1.9,0.7,0.3,1.9,0.458,0.34,0.831,29.8,2.2,1156,383,136,47,24,135,391,853,98,288,276,332,2149,162,72,49,0
Enrique Freeman,freemen01,24-25,IND,PF,2.1,0.5,1.4,0.4,0.1,0.1,0.3,0.432,0.1,0.684,8.2,1.0,46,30,9,3,3,6,16,37,1,10,13,19,181,21,22,1,0
Isaiah Jackson,jacksis01,24-25,IND,C,7.0,2.2,5.6,1.0,0.6,1.6,1.0,0.609,,0.5,16.8,2.8,35,28,5,3,8,5,14,23,0,0,7,14,84,14,5,1,0
Jahlil Okafor,okafoja01,24-25,IND,C,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,3.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0
James Johnson,johnsja01,24-25,IND,PF,0.7,0.0,0.5,0.3,0.0,0.2,0.3,0.364,0.0,0.0,3.1,0.4,8,6,4,0,2,4,4,11,0,3,0,1,37,5,12,0,0
James Wiseman,wisemja01,24-25,IND,C,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,5.0,0.0,6,1,0,0,0,0,2,4,0,1,2,2,5,0,1,0,0
Jarace Walker,walkeja02,24-25,IND,PF,6.1,0.3,3.1,1.5,0.7,0.3,1.0,0.472,0.405,0.667,15.8,1.5,461,229,110,54,25,78,170,360,75,185,46,69,1187,115,75,5,0
Johnny Furphy,furphjo01,24-25,IND,SG,2.1,0.5,1.4,0.4,0.4,0.2,0.2,0.38,0.3,0.818,7.6,0.8,103,71,19,18,11,12,35,92,15,50,18,22,379,41,50,0,0
Myles Turner,turnemy01,24-25,IND,C,15.6,1.2,6.5,1.5,0.8,2.0,1.7,0.481,0.396,0.773,30.2,2.5,1120,471,111,54,144,123,390,811,156,394,184,238,2174,183,72,72,0
Obi Toppin,toppiob01,24-25,IND,PF,10.5,0.7,4.0,1.6,0.6,0.4,0.9,0.529,0.365,0.781,19.6,1.4,833,318,128,46,28,68,317,599,110,301,89,114,1545,108,79,4,0
Pascal Siakam,siakapa01,24-25,IND,PF,20.2,1.7,6.9,3.4,0.9,0.5,1.4,0.519,0.389,0.734,32.7,2.4,1578,540,263,70,42,109,613,1182,126,324,226,308,2548,189,78,78,0
Quenton Jackson,jacksqu01,24-25,IND,PG,5.8,0.5,1.6,1.9,0.8,0.2,0.6,0.475,0.375,0.775,13.6,1.5,162,44,53,21,5,16,58,122,15,40,31,40,381,43,28,7,0
RayJ Dennis,dennira01,24-25,IND,PG,2.7,0.2,1.1,1.3,0.6,0.2,0.5,0.333,0.286,1.0,6.4,0.6,30,12,14,7,2,5,11,33,6,21,2,2,70,7,11,0,0
T.J. McConnell,mccontj01,24-25,IND,PG,9.1,0.6,2.4,4.4,1.1,0.3,1.4,0.519,0.306,0.74,17.9,1.0,720,193,351,83,21,109,324,624,15,49,57,77,1415,79,79,1,0
Thomas Bryant,bryanth01,24-25,MIA-IND,C,6.5,1.3,3.8,0.8,0.4,0.6,0.5,0.508,0.324,0.859,14.6,1.2,429,251,53,28,41,30,163,321,48,148,55,64,963,76,66,8,0
Tony Bradley,bradlto01,24-25,IND,C,4.4,1.3,3.0,0.4,0.1,0.6,0.4,0.644,0.333,0.333,8.1,0.8,61,42,6,2,9,5,29,45,1,3,2,6,113,11,14,0,0
Tyrese Haliburton,halibty01,24-25,IND,PG,18.6,0.6,3.5,9.2,1.4,0.7,1.6,0.473,0.388,0.851,33.6,1.3,1359,258,673,105,49,120,476,1006,218,562,189,222,2451,92,73,73,0
Aaron Nesmith,nesmiaa01,25-26,IND,SF,13.8,1.1,4.2,1.9,0.6,0.5,1.4,0.414,0.379,0.829,29.7,2.8,621,187,86,26,23,63,212,512,105,277,92,111,1335,124,45,42,0
Andrew Nembhard,nembhan01,25-26,IND,PG,16.9,0.4,2.8,7.7,0.9,0.1,2.4,0.442,0.361,0.825,31.3,2.2,966,160,437,51,8,137,333,753,107,296,193,234,1786,126,57,57,0
Ben Sheppard,sheppbe01,25-26,IND,SG,7.1,0.7,3.0,1.8,0.6,0.1,0.6,0.434,0.362,0.765,21.4,1.8,459,195,114,39,6,41,168,387,84,232,39,51,1390,114,65,20,0
Cody Martin,martico01,25-26,IND,SF,1.8,0.2,3.5,0.5,1.0,0.5,1.0,0.2,0.0,0.5,13.8,1.2,7,14,2,4,2,4,2,10,0,5,3,6,55,5,4,0,0
Ethan Thompson,thompet01,25-26,IND,SG,7.0,0.5,2.2,1.8,0.6,0.3,0.8,0.378,0.328,0.787,20.4,2.2,223,69,57,20,9,25,74,196,38,116,37,47,653,69,32,13,0
Garrison Mathews,mathega01,25-26,IND,SG,5.2,0.1,1.1,0.7,0.4,0.2,0.2,0.404,0.37,0.826,13.1,1.3,78,17,10,6,3,3,21,52,17,46,19,23,196,19,15,1,0
Ivica Zubac,zubaciv01,25-26,LAC-IND,C,14.1,3.4,10.6,2.2,0.4,0.8,1.8,0.598,,0.711,30.1,2.3,677,509,105,18,40,86,288,482,0,0,101,142,1446,112,48,47,0
Jalen Slawson,slawsja01,25-26,IND,SF,7.3,0.5,4.4,2.8,1.5,1.1,1.3,0.442,0.375,0.706,23.9,2.1,95,57,36,20,14,17,34,77,15,40,12,17,311,27,13,6,0
James Wiseman,wisemja01,25-26,IND,C,3.2,1.2,2.0,0.8,0.0,0.2,1.2,0.6,,0.5,14.5,2.5,13,8,3,0,1,5,6,10,0,0,1,2,58,10,4,1,0
Jarace Walker,walkeja02,25-26,IND,PF,11.6,0.6,5.1,2.5,0.8,0.3,1.8,0.419,0.374,0.749,25.7,1.6,884,391,192,63,26,139,307,733,133,356,137,183,1953,124,76,41,0
Jay Huff,huffja01,25-26,IND,C,9.5,0.9,4.0,1.5,0.5,1.9,0.9,0.476,0.319,0.828,21.0,2.4,783,324,121,41,153,76,291,611,119,373,82,99,1719,196,82,47,0
Johnny Furphy,furphjo01,25-26,IND,SG,5.1,0.9,4.4,1.2,0.6,0.2,0.8,0.47,0.324,0.486,18.4,1.9,180,153,41,20,7,29,70,149,23,71,17,35,643,65,35,21,0
Kam Jones,joneska03,25-26,IND,SG,4.4,0.4,1.6,3.2,0.5,0.0,1.0,0.402,0.293,0.5,16.6,1.1,162,60,119,18,0,36,68,169,22,75,4,8,616,39,37,7,0
Kobe Brown,brownko01,25-26,LAC-IND,PF,5.8,1.1,3.0,1.3,0.4,0.2,0.9,0.469,0.374,0.797,15.8,1.1,353,185,80,23,12,53,127,271,52,139,47,59,963,69,61,10,0
Micah Potter,pottemi01,25-26,IND,C,9.7,1.2,5.0,1.5,0.5,0.3,1.0,0.515,0.423,0.842,19.3,1.7,458,233,69,22,15,47,151,293,71,168,85,101,908,82,47,7,0
Monte Morris,morrimo01,25-26,IND,PG,3.0,0.2,1.2,1.5,0.2,0.2,0.3,0.35,0.25,0.5,10.8,0.5,18,7,9,1,1,2,7,20,2,8,2,4,65,3,6,0,0
Obi Toppin,toppiob01,25-26,IND,PF,11.6,0.5,4.4,2.3,0.5,0.0,1.2,0.503,0.352,0.913,17.7,1.2,279,106,55,12,1,28,100,199,37,105,42,46,424,28,24,3,0
Pascal Siakam,siakapa01,25-26,IND,PF,24.0,1.4,6.6,3.8,1.1,0.4,2.2,0.484,0.358,0.693,33.2,2.4,1485,411,236,69,25,138,559,1155,105,293,262,378,2057,147,62,62,0
Quenton Jackson,jacksqu01,25-26,IND,PG,9.1,0.6,2.3,2.9,0.6,0.1,1.3,0.47,0.356,0.824,18.3,1.7,448,114,140,31,6,62,154,328,42,118,98,119,897,82,49,19,0
T.J. McConnell,mccontj01,25-26,IND,PG,9.4,0.4,2.2,5.1,1.0,0.2,1.1,0.538,0.32,0.862,17.2,1.1,525,124,287,56,10,64,242,450,16,50,25,29,963,62,56,4,0
Taelon Peter,peterta01,25-26,IND,SG,4.5,0.3,1.6,1.1,0.7,0.1,0.7,0.38,0.328,0.625,12.9,1.0,171,59,40,26,4,27,60,158,41,125,10,16,492,38,38,0,0
