Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Dariq Whitehead,whiteda01,24-25,BRK,SF,5.7,0.2,1.4,0.6,0.3,0.0,0.8,0.406,0.446,0.6,12.3,1.1,114,29,12,6,1,15,39,96,33,74,3,5,246,22,20,0,0
Day'Ron Sharpe,sharpda01,24-25,BRK,C,7.9,3.0,6.6,1.8,0.8,0.8,1.3,0.521,0.244,0.757,18.2,2.3,397,330,91,41,42,63,165,317,11,45,56,74,908,113,50,2,0
Drew Timme,timmedr01,24-25,BRK,PF,12.1,1.9,7.2,2.2,0.4,0.1,1.7,0.441,0.257,0.625,28.2,2.3,109,65,20,4,1,15,45,102,9,35,10,16,254,21,9,2,0
Jalen Wilson,wilsoja03,24-25,BRK,PF,9.5,0.9,3.4,1.8,0.5,0.1,1.0,0.397,0.337,0.818,25.7,2.1,749,270,145,40,5,79,246,620,122,362,135,165,2031,164,79,22,0
Keon Johnson,johnske07,24-25,BRK,SG,10.6,0.8,3.8,2.2,1.0,0.4,1.5,0.389,0.314,0.77,24.4,2.6,839,297,175,82,30,116,303,779,126,401,107,139,1925,209,79,56,0
Killian Hayes,hayeski01,24-25,BRK,PG,9.0,0.8,3.0,5.2,0.7,0.7,1.5,0.419,0.381,0.833,27.0,2.2,54,18,31,4,4,9,18,43,8,21,10,12,162,13,6,5,0
Maxwell Lewis,lewisma05,24-25,LAL-BRK,SF,4.1,0.6,2.0,0.7,0.3,0.2,0.5,0.417,0.38,0.7,11.7,1.0,116,55,19,9,7,14,45,108,19,50,7,10,327,29,28,1,0
Nic Claxton,claxtni01,24-25,BRK,C,10.3,2.2,7.4,2.2,0.9,1.4,1.2,0.563,0.238,0.513,26.9,2.1,724,515,157,62,100,87,320,568,5,21,79,154,1882,150,70,62,0
Noah Clowney,clownno01,24-25,BRK,PF,9.1,0.9,3.9,0.9,0.5,0.5,1.0,0.358,0.333,0.838,22.7,2.3,420,181,40,24,21,46,133,372,87,261,67,80,1042,105,46,20,0
Reece Beekman,beekmre01,24-25,GSW-BRK,PG,2.6,0.4,1.1,1.8,0.9,0.1,0.6,0.327,0.175,0.762,13.0,1.0,93,39,63,33,2,21,35,107,7,40,16,21,469,36,36,4,0
Tosan Evbuomwan,evbuoto01,24-25,BRK,SF,9.5,1.1,4.3,2.0,0.9,0.4,1.4,0.427,0.312,0.753,23.8,2.0,267,120,55,24,10,39,94,220,24,77,55,73,665,55,28,0,0
Trendon Watford,watfotr01,24-25,BRK,PF,10.2,0.8,3.6,2.6,0.6,0.3,1.9,0.469,0.33,0.762,20.8,2.2,450,160,115,27,12,83,164,350,29,88,93,122,913,95,44,6,0
Tyrese Martin,martity01,24-25,BRK,SG,8.7,1.0,3.6,2.0,0.6,0.2,1.2,0.406,0.351,0.793,21.9,1.3,523,219,122,34,9,74,189,465,99,282,46,58,1315,77,60,11,0
Tyson Etienne,etienty01,24-25,BRK,PG,7.9,0.4,1.3,1.7,0.4,0.1,1.1,0.327,0.295,0.8,21.6,2.4,55,9,12,3,1,8,17,52,13,44,8,10,151,17,7,0,0
Ziaire Williams,willizi02,24-25,BRK,SF,10.0,1.0,4.6,1.3,1.0,0.4,1.1,0.412,0.341,0.821,24.5,2.4,632,287,84,62,28,67,214,520,103,302,101,123,1541,149,63,45,0
Ben Saraf,sarafbe01,25-26,BRK,SG,7.5,0.5,2.1,3.3,0.9,0.2,2.2,0.396,0.211,0.83,20.8,1.8,332,92,145,38,8,99,120,303,19,90,73,88,916,81,44,11,0
Chaney Johnson,johnsch06,25-26,BRK,SF,8.2,1.9,4.6,2.1,0.9,0.5,1.2,0.543,0.3,0.8,20.5,3.0,139,79,36,15,9,20,51,94,9,30,28,35,348,51,17,1,0
Danny Wolf,wolfda01,25-26,BRK,PF,8.9,1.0,4.9,2.2,0.5,0.6,1.3,0.405,0.322,0.771,20.8,2.2,508,281,127,30,32,73,178,440,68,211,84,109,1187,126,57,15,0
Day'Ron Sharpe,sharpda01,25-26,BRK,C,8.7,2.8,6.7,2.3,1.1,0.4,1.7,0.601,0.231,0.678,18.7,2.4,540,413,145,67,26,106,214,356,9,39,103,152,1160,147,62,7,0
Drake Powell,poweldr01,25-26,BRK,SG,6.5,0.3,1.8,1.4,0.6,0.2,1.0,0.402,0.28,0.896,21.0,1.4,408,111,91,36,14,60,144,358,51,182,69,77,1320,89,63,24,0
E.J. Liddell,liddeej01,25-26,BRK,PF,5.7,0.5,2.7,0.9,0.2,0.4,0.6,0.486,0.346,0.808,13.4,1.7,147,69,24,6,10,15,54,111,18,52,21,26,349,45,26,5,0
Egor Dёmin,demineg01,25-26,BRK,PG,10.3,0.4,3.2,3.3,0.8,0.3,1.7,0.399,0.385,0.831,25.2,1.8,536,165,173,42,17,86,179,449,124,322,54,65,1308,93,52,45,0
Grant Nelson,nelsogr02,25-26,BRK,PF,4.2,0.2,1.5,1.2,0.2,1.2,1.0,0.556,,0.7,8.8,1.5,17,6,5,1,5,4,5,9,0,0,7,10,35,6,4,0,0
